amount,date
12,2012-06-13T19:50:00.251807
370,2012-06-15T19:40:36.678074
8,2012-06-16T14:43:41.576887
10,2012-06-17T09:18:57.297620
15,2012-06-17T09:19:05.652076
25,2012-06-17T09:19:14.594016
7,2012-06-19T18:46:41.142400
10,2012-06-20T21:12:25.715479
50,2012-06-21T18:48:17.241669
50,2012-06-24T10:04:14.555790
53,2012-06-24T10:05:00.634556
20,2012-06-25T20:27:56.082011
12,2012-06-25T20:28:01.038272
20,2012-06-28T19:34:28.160584
12,2012-06-30T14:45:09.791007
20,2012-06-30T21:07:32.198704
20,2012-07-01T21:19:31.751722
17,2012-07-03T19:46:38.098038
370,2012-07-03T21:10:05.354964
37,2012-07-04T20:05:55.296805
15,2012-07-04T20:06:46.716114
15,2012-07-04T20:09:29.937734
20,2012-07-05T18:30:00.650845
20,2012-07-06T17:41:00.449669
20,2012-07-07T20:34:29.819854
